Language,Total Entries,Concepts with Cognates (Absolute),Concepts with Cognates (Relative)
Arawa,45,44,0.138801261829653
Banawa,326,285,0.8990536277602523
Deni,341,289,0.9116719242902208
Jamamadi,296,270,0.8517350157728707
Jarawara,352,303,0.9558359621451105
Kulina,357,285,0.8990536277602523
Paumari,321,270,0.8517350157728707
Paumari_1833,85,85,0.26813880126182965
Suruwaha,316,255,0.804416403785489
