Language,Total Entries,Concepts with Cognates (Absolute),Concepts with Cognates (Relative)
Arawa,43,42,0.19534883720930232
Banawa,236,208,0.9674418604651163
Deni,250,211,0.9813953488372092
Jamamadi,226,205,0.9534883720930233
Jarawara,250,214,0.9953488372093023
Kulina,272,212,0.986046511627907
Paumari,257,211,0.9813953488372092
Paumari_1833,72,72,0.33488372093023255
Suruwaha,254,203,0.9441860465116279
